speaker,line
3rd Athlead Employee,1
4th Athlead Employee,1
A.J.,7
AJ,23
Aaron Rodgers,4
Abby,12
Abe,1
Actor,3
Actress,1
Ad guy 1,10
Ad guy 2,5
Alan,20
Albiny,2
Alex,10
Alice,19
All,50
All Girls,1
All but Oscar,1
All the Men,1
Alonzo,1
Amanda,1
Amy,3
Andy,3695
Andy ,35
"Andy, Creed, Kevin, Kelly",5
"Andy, Creed, Kevin, Kelly, Darryl",1
"Andy, Darryl",3
"Andy, Dwight",5
"Andy, Erin",4
"Andy, Jim",4
"Andy, Michael",4
"Andy, Oscar",1
"Andy, Pam",1
"Andy, Stanley",1
"Andy, Walter",3
Angel,1
Angela,1536
Angela ,16
"Angela, Kelly",1
"Angela, Oscar",3
"Angela, Pam",1
Anglea,1
Announcer,1
Another guy,1
Archivist,2
Artist,1
Astrid,3
Athlead Coworker,1
Athlead Employee,10
Attendant,6
Audience,3
Aunt Shirley,3
Automated phone voice,1
Ballerinas,2
Bar Manager ,20
Barbara,14
Bartender,12
Bass Player,2
Ben,4
Ben Franklin,24
Bert,19
Beth,4
Bill,7
Bill Cress,1
Bill Hader,1
Billy,9
Billy Merchant,17
Billy's Girlfriend,2
Blogger,4
Blogger 2,1
Blonde,6
Blood Drive Worker,8
Blood Girl,17
Boat Guy,12
Bob Vance,39
Bookstore employee,2
Boom Box,1
Both,13
Bouncer ,1
Brandon,18
Brenda,3
Brian,53
Broccoli Rob,10
Bruce,1
Bus driver,3
Business Student #1,4
Business Student #2,3
Business Student #3,2
Business partner,10
Businessman #1,2
Businessman #2,3
Businessman #3,3
Buyer,4
CPR Trainer,3
CPR trainer,1
Calvin,3
Camera Crew,1
Camera Man,2
Cameraman,1
Cameron,9
Captain Jack,30
Carla,10
Carla Fern,5
Carol,96
Casey,23
Cathy,48
Cece,11
Cell Phone Sales Person,2
Chad Lite,6
Charles,222
Check-in guy,7
Chef,2
Chelsea,1
Chelsea's Mom,1
Cherokee Jack,3
Chet,2
Child,2
Children,1
Chili's Employee,1
Christian,19
Christian Slater,1
Church congregation,1
Cindy,2
Clark,258
Clay Aiken,2
Cleaning lady,1
Client,6
Co-Worker 1,1
Co-Worker 2,3
Co-Worker 3,3
Co-worker,3
Co-worker #2,1
Coffee shop worker,1
Colin,4
College Student,1
Computron,10
Concierge,3
Concierge Marie,2
Cookie Monster,3
Council,1
Cousin Mose,1
Craig,11
Credit card rep,1
Creed,393
Creed ,1
Crowd,6
Curtis,3
Customer,11
DJ,3
Dakota,3
Dale,1
Dan Gore,2
Dana,8
Dance Teacher,1
Danny,68
Darrly,2
Darry,1
Darryl,1160
Darryl ,10
Darryl's sister,1
"Darryl, Angela",1
"Darryl, Katy",1
"Darryl, Kevin",1
Daryl,37
David,379
David Brent,2
David Wallace,109
