,Season,EpisodeTitle,Ratings,Votes,Duration,Date
0,1,Pilot,7.5,4936,23, 24 March 2005
1,1,Diversity Day,8.3,4801,23, 29 March 2005
2,1,Health Care,7.8,4024,22, 5 April 2005
3,1,The Alliance,8.1,3915,23, 12 April 2005
4,1,Basketball,8.4,4294,23, 19 April 2005
5,1,Hot Girl,7.7,3854,23, 26 April 2005
6,2,The Dundies,8.7,4315,21, 20 September 2005
7,2,Sexual Harassment,8.2,3665,22, 27 September 2005
8,2,Office Olympics,8.4,3665,22, 4 October 2005
9,2,The Fire,8.4,3607,22, 11 October 2005
10,2,Halloween,8.1,3392,30, 18 October 2005
11,2,The Fight,8.1,3388,22, 1 November 2005
12,2,The Client,8.6,3533,22, 8 November 2005
13,2,Performance Review,8.2,3216,22, 15 November 2005
14,2,E-Mail Surveillance,8.4,3338,23, 22 November 2005
15,2,Christmas Party,8.9,3663,22, 6 December 2005
16,2,Booze Cruise,8.6,3536,22, 5 January 2006
17,2,The Injury,9.1,4314,22, 12 January 2006
18,2,The Secret,8.3,3142,22, 19 January 2006
19,2,The Carpet,7.8,3118,22, 26 January 2006
20,2,Boys and Girls,8.2,3091,22, 2 February 2006
21,2,Valentine's Day,8.3,3104,22, 9 February 2006
22,2,Dwight's Speech,8.5,3283,22, 2 March 2006
23,2,Take Your Daughter to Work Day,8.3,3212,21, 16 March 2006
24,2,Michael's Birthday,8.1,3094,22, 30 March 2006
25,2,Drug Testing,8.4,3172,22, 27 April 2006
26,2,Conflict Resolution,8.7,3253,22, 4 May 2006
27,2,Casino Night,9.4,4765,29, 11 May 2006
28,3,Gay Witch Hunt,9,4133,23, 21 September 2006
29,3,The Convention,8.2,3027,22, 28 September 2006
30,3,The Coup,8.5,3175,22, 5 October 2006
31,3,Grief Counseling,8,3049,22, 12 October 2006
32,3,Initiation,8.1,2976,22, 19 October 2006
33,3,Diwali,7.9,3082,22, 2 November 2006
34,3,Branch Closing,8.6,3021,31, 9 November 2006
35,3,The Merger,8.7,3166,30, 16 November 2006
36,3,The Convict,8.3,3151,30, 30 November 2006
37,3,A Benihana Christmas,8.8,3343,42, 14 December 2006
38,3,Back from Vacation,8.5,3001,21, 4 January 2007
39,3,Traveling Salesmen,8.6,3053,22, 11 January 2007
40,3,The Return,8.8,3211,28, 18 January 2007
41,3,Ben Franklin,8.1,2975,21, 1 February 2007
42,3,Phyllis' Wedding,8.2,2995,21, 8 February 2007
43,3,Business School,8.9,3460,22, 15 February 2007
44,3,Cocktails,8.5,2969,21, 22 February 2007
45,3,The Negotiation,9,3368,30, 5 April 2007
46,3,Safety Training,8.8,3164,21, 12 April 2007
47,3,Product Recall,8.7,3138,21, 26 April 2007
48,3,Women's Appreciation,8.8,3158,29, 3 May 2007
49,3,Beach Games,9.2,3641,28, 10 May 2007
50,3,The Job,9.3,3898,42, 17 May 2007
51,4,Fun Run,8.8,3635,42, 27 September 2007
52,4,Dunder Mifflin Infinity,8.3,2934,42, 4 October 2007
53,4,Launch Party,8.4,2844,42, 11 October 2007
54,4,Money,8.7,3073,42, 18 October 2007
55,4,Local Ad,8.8,3125,22, 25 October 2007
56,4,Branch Wars,8.5,2878,30, 1 November 2007
57,4,Survivor Man,8.2,2775,30, 8 November 2007
58,4,The Deposition,8.7,2923,30, 15 November 2007
59,4,Dinner Party,9.5,5601,30, 10 April 2008
60,4,Chair Model,8,2757,30, 17 April 2008
61,4,Night Out,8.6,2872,21, 24 April 2008
62,4,Did I Stutter?,8.3,2756,22, 1 May 2008
63,4,Job Fair,7.8,2627,30, 8 May 2008
64,4,"Goodbye, Toby",9.3,3939,42, 15 May 2008
65,5,Weight Loss,8.8,3264,43, 25 September 2008
66,5,Business Ethics,8.3,2654,22, 9 October 2008
67,5,Baby Shower,8,2621,22, 16 October 2008
68,5,Crime Aid,8.1,2525,30, 23 October 2008
69,5,Employee Transfer,8,2600,22, 30 October 2008
70,5,Customer Survey,8.5,2717,22, 6 November 2008
71,5,Business Trip,8.2,2516,30, 13 November 2008
72,5,Frame Toby,8.6,2799,30, 20 November 2008
73,5,The Surplus,8.8,2776,22, 4 December 2008
74,5,Moroccan Christmas,8.4,2613,30, 11 December 2008
75,5,The Duel,8.7,2711,30, 15 January 2009
76,5,Prince Family Paper,8,2615,22, 22 January 2009
77,5,Stress Relief,9.7,8170,60, 1 February 2009
78,5,Lecture Circuit: Part 1,8.2,2474,30, 5 February 2009
79,5,Lecture Circuit: Part 2,8.1,2431,30, 12 February 2009
80,5,Blood Drive,8,2464,22, 5 March 2009
81,5,Golden Ticket,8.7,2667,30, 12 March 2009
82,5,New Boss,8.3,2503,30, 19 March 2009
83,5,Two Weeks,8.4,2492,30, 26 March 2009
84,5,Dream Team,8.3,2484,30, 9 April 2009
85,5,Michael Scott Paper Company,8.7,2718,22, 9 April 2009
86,5,Heavy Competition,8.7,2568,30, 16 April 2009
87,5,Broke,9.2,3409,30, 23 April 2009
88,5,Casual Friday,8.3,2467,22, 30 April 2009
89,5,Cafe Disco,8.7,2814,30, 7 May 2009
90,5,Company Picnic,9,2954,30, 14 May 2009
91,6,Gossip,8.8,2866,30, 17 September 2009
